Permutation,DMT,Probability
4-1-0-2-3,DMT11,0.07569413194237849
4-1-0-2-3,DMT12,0.017870186364147212
4-1-0-2-3,DMT3,0.054712316164561056
4-1-0-2-3,DMT6,0.05464735910301924
4-1-0-2-3,DMT13,0.059175070440226615
4-1-0-2-3,DMT5,0.05705241255297065
4-1-0-2-3,DMT15,0.04967599042726906
4-1-0-2-3,DMT1,0.029202461937155817
4-1-0-2-3,DMT4,0.019992484612892773
4-1-0-2-3,DMT8,0.03247193563528424
4-1-0-2-3,DMT10,0.06449518798384271
4-1-0-2-3,DMT7,0.03209525660604377
4-1-0-2-3,DMT14,0.0466970058771808
4-1-0-2-3,DMT2,0.0398281615464456
4-1-0-2-3,DMT9,0.024738671056372015
4-1-0-3-2,DMT11,0.07814623721597481
4-1-0-3-2,DMT12,0.02032229163774353
4-1-0-3-2,DMT3,0.05453699239073666
4-1-0-3-2,DMT6,0.05587327687537599
4-1-0-3-2,DMT13,0.05777382889404546
4-1-0-3-2,DMT5,0.05827833032532741
4-1-0-3-2,DMT15,0.0482747488810879
4-1-0-3-2,DMT1,0.029202461937155817
4-1-0-3-2,DMT4,0.019817160839068374
4-1-0-3-2,DMT8,0.03492404090888056
4-1-0-3-2,DMT10,0.06694729325743903
4-1-0-3-2,DMT7,0.028241909786266305
4-1-0-3-2,DMT14,0.042843659057403324
4-1-0-3-2,DMT2,0.03720073249902488
4-1-0-3-2,DMT9,0.02596458882872877
4-1-2-0-3,DMT11,0.0732987596437992
4-1-2-0-3,DMT12,0.015474814065567917
4-1-2-0-3,DMT3,0.060530114304225086
4-1-2-0-3,DMT6,0.049856207268135624
4-1-2-0-3,DMT13,0.06259749628131135
4-1-2-0-3,DMT5,0.05465704025439136
4-1-2-0-3,DMT15,0.055493788566933086
4-1-2-0-3,DMT1,0.024411310102272203
4-1-2-0-3,DMT4,0.023414910453977505
4-1-2-0-3,DMT8,0.027680783800400628
4-1-2-0-3,DMT10,0.06449518798384271
4-1-2-0-3,DMT7,0.03551768244712851
4-1-2-0-3,DMT14,0.04772365218196121
4-1-2-0-3,DMT2,0.040854807851226006
4-1-2-0-3,DMT9,0.02234329875779272
4-1-2-3-0,DMT11,0.07416431962872612
4-1-2-3-0,DMT12,0.016340374050494835
4-1-2-3-0,DMT3,0.06420813735017816
4-1-2-3-0,DMT6,0.04790876473427077
4-1-2-3-0,DMT13,0.06346305626623827
4-1-2-3-0,DMT5,0.05429641273807871
4-1-2-3-0,DMT15,0.05794589384052941
4-1-2-3-0,DMT1,0.02123794979605059
4-1-2-3-0,DMT4,0.025506388211261177
4-1-2-3-0,DMT8,0.026959528767775333
4-1-2-3-0,DMT10,0.06694729325743903
4-1-2-3-0,DMT7,0.03393113715845911
4-1-2-3-0,DMT14,0.0445502918757396
4-1-2-3-0,DMT2,0.03890736531736115
4-1-2-3-0,DMT9,0.02198267124148007
4-1-3-0-2,DMT11,0.07945306307557035
4-1-3-0-2,DMT12,0.021629117497339072
4-1-3-0-2,DMT3,0.0600900860091364
4-1-3-0-2,DMT6,0.052933020500717284
4-1-3-0-2,DMT13,0.05908065475364101
4-1-3-0-2,DMT5,0.05773385348697302
4-1-3-0-2,DMT15,0.05197694703926274
4-1-3-0-2,DMT1,0.024411310102272203
4-1-3-0-2,DMT4,0.02297488215888882
4-1-3-0-2,DMT8,0.03383508723217178
4-1-3-0-2,DMT10,0.07064949141561386
4-1-3-0-2,DMT7,0.025846537487687008
4-1-3-0-2,DMT14,0.03805250722251971
4-1-3-0-2,DMT2,0.03426047612436617
4-1-3-0-2,DMT9,0.02542011199037438
4-1-3-2-0,DMT11,0.07786651778690094
4-1-3-2-0,DMT12,0.02004257220866967
4-1-3-2-0,DMT3,0.06394343282891388
4-1-3-2-0,DMT6,0.049759660194495674
4-1-3-2-0,DMT13,0.061347456284749066
4-1-3-2-0,DMT5,0.056147308198303617
4-1-3-2-0,DMT15,0.05583029385904021
4-1-3-2-0,DMT1,0.02123794979605059
4-1-3-2-0,DMT4,0.02524168368999689
4-1-3-2-0,DMT8,0.030661726925950167
4-1-3-2-0,DMT10,0.07064949141561386
4-1-3-2-0,DMT7,0.028113339018795078
4-1-3-2-0,DMT14,0.03873249373607557
4-1-3-2-0,DMT2,0.034940462637922026
4-1-3-2-0,DMT9,0.023833566701704976
4-2-0-1-3,DMT11,0.05962443875898269
4-2-0-1-3,DMT12,0.012513621969681943
4-2-0-1-3,DMT3,0.07001709195242722
4-2-0-1-3,DMT6,0.05464735910301924
4-2-0-1-3,DMT13,0.07447984622809278
4-2-0-1-3,DMT5,0.05169584815850538
4-2-0-1-3,DMT15,0.05426763742620468
4-2-0-1-3,DMT1,0.018489333148225276
4-2-0-1-3,DMT4,0.035297260400758944
4-2-0-1-3,DMT8,0.0217588068463537
4-2-0-1-3,DMT10,0.06449518798384271
4-2-0-1-3,DMT7,0.03668690360497941
4-2-0-1-3,DMT14,0.04593208848165116
4-2-0-1-3,DMT2,0.044419808545381224
4-2-0-1-3,DMT9,0.014025542267441474
4-2-0-3-1,DMT11,0.0580306107904775
4-2-0-3-1,DMT12,0.013617082829244427
4-2-0-3-1,DMT3,0.0736951149983803
4-2-0-3-1,DMT6,0.05587327687537599
4-2-0-3-1,DMT13,0.0769319515016891
4-2-0-3-1,DMT5,0.0515731215168283
4-2-0-3-1,DMT15,0.054022453871733336
4-2-0-3-1,DMT1,0.015792044320157607
4-2-0-3-1,DMT4,0.038975283446712014
4-2-0-3-1,DMT8,0.02151362329188235
4-2-0-3-1,DMT10,0.06694729325743903
4-2-0-3-1,DMT7,0.03398961477691173
4-2-0-3-1,DMT14,0.04188615523954965
4-2-0-3-1,DMT2,0.04294843748967031
4-2-0-3-1,DMT9,0.01255417121173056
4-2-1-0-3,DMT11,0.06333763233573311
4-2-1-0-3,DMT12,0.012154438296212555
4-2-1-0-3,DMT3,0.07001709195242722
4-2-1-0-3,DMT6,0.049856207268135624
4-2-1-0-3,DMT13,0.07208447392951349
4-2-1-0-3,DMT5,0.051336664485035995
4-2-1-0-3,DMT15,0.058340014676424495
4-2-1-0-3,DMT1,0.017770558563561478
4-2-1-0-3,DMT4,0.032901888102179644
4-2-1-0-3,DMT8,0.021040032261689903
4-2-1-0-3,DMT10,0.06449518798384271
4-2-1-0-3,DMT7,0.038363908556619926
4-2-1-0-3,DMT14,0.04724950252209727
4-2-1-0-3,DMT2,0.04370103396071742
4-2-1-0-3,DMT9,0.015702547219081993
4-2-1-3-0,DMT11,0.06420319232066003
4-2-1-3-0,DMT12,0.01301999828113947
4-2-1-3-0,DMT3,0.0736951149983803
4-2-1-3-0,DMT6,0.04790876473427077
4-2-1-3-0,DMT13,0.07295003391444041
4-2-1-3-0,DMT5,0.05097603696872334
4-2-1-3-0,DMT15,0.06079211995002082
4-2-1-3-0,DMT1,0.014597198257339863
4-2-1-3-0,DMT4,0.03499336585946332
4-2-1-3-0,DMT8,0.020318777229064607
4-2-1-3-0,DMT10,0.06694729325743903
4-2-1-3-0,DMT7,0.036777363267950516
4-2-1-3-0,DMT14,0.044076142215875656
4-2-1-3-0,DMT2,0.04175359142685257
4-2-1-3-0,DMT9,0.015341919702769345
4-2-3-0-1,DMT11,0.059337436650073044
4-2-3-0-1,DMT12,0.014923908688839966
4-2-3-0-1,DMT3,0.07924820861678003
4-2-3-0-1,DMT6,0.052933020500717284
4-2-3-0-1,DMT13,0.07823877736128465
4-2-3-0-1,DMT5,0.051028644678473914
4-2-3-0-1,DMT15,0.05772465202990816
4-2-3-0-1,DMT1,0.011000892485273993
4-2-3-0-1,DMT4,0.042133004766532464
4-2-3-0-1,DMT8,0.02042466961517357
4-2-3-0-1,DMT10,0.07064949141561386
4-2-3-0-1,DMT7,0.03159424247833244
4-2-3-0-1,DMT14,0.03709500340466604
4-2-3-0-1,DMT2,0.0400081811150116
4-2-3-0-1,DMT9,0.01200969437337617
4-2-3-1-0,DMT11,0.06179682460350515
4-2-3-1-0,DMT12,0.014686007814204398
4-2-3-1-0,DMT3,0.07924820861678003
4-2-3-1-0,DMT6,0.049759660194495674
4-2-3-1-0,DMT13,0.07665223207261525
4-2-3-1-0,DMT5,0.05079074380383834
4-2-3-1-0,DMT15,0.06042194085797584
4-2-3-1-0,DMT1,0.010524821007120048
4-2-3-1-0,DMT4,0.04054645947786306
4-2-3-1-0,DMT8,0.019948598137019626
4-2-3-1-0,DMT10,0.07064949141561386
4-2-3-1-0,DMT7,0.032704986017730704
4-2-3-1-0,DMT14,0.037967576340545935
4-2-3-1-0,DMT2,0.03953210963685766
4-2-3-1-0,DMT9,0.013120437912774438
4-3-0-1-2,DMT11,0.07181584941459576
4-3-0-1-2,DMT12,0.024705032625295015
4-3-0-1-2,DMT3,0.06914541480732234
4-3-0-1-2,DMT6,0.060742393909944924
4-3-0-1-2,DMT13,0.06751313427606222
4-3-0-1-2,DMT5,0.05779088296543106
4-3-0-1-2,DMT15,0.047300925474174124
4-3-0-1-2,DMT1,0.018489333148225276
4-3-0-1-2,DMT4,0.03442558325565406
4-3-0-1-2,DMT8,0.03395021750196677
4-3-0-1-2,DMT10,0.07668659863945579
4-3-0-1-2,DMT7,0.017528780997335763
4-3-0-1-2,DMT14,0.02677396587400752
4-3-0-1-2,DMT2,0.031356720744663266
4-3-0-1-2,DMT9,0.02012057707436716
4-3-0-2-1,DMT11,0.06776991617249425
4-3-0-2-1,DMT12,0.02335638821126118
4-3-0-2-1,DMT3,0.07299876162709981
4-3-0-2-1,DMT6,0.060742393909944924
4-3-0-2-1,DMT13,0.07136648109583968
4-3-0-2-1,DMT5,0.05644223855139723
4-3-0-2-1,DMT15,0.048456983465883924
4-3-0-2-1,DMT1,0.015792044320157607
4-3-0-2-1,DMT4,0.03827893007543153
4-3-0-2-1,DMT8,0.0312529286738991
4-3-0-2-1,DMT10,0.07668659863945579
4-3-0-2-1,DMT7,0.018684838989045566
4-3-0-2-1,DMT14,0.026581379451683484
4-3-0-2-1,DMT2,0.032512778736373066
4-3-0-2-1,DMT9,0.01742328824629949
4-3-1-0-2,DMT11,0.07552904299134619
4-3-1-0-2,DMT12,0.024345848951825625
4-3-1-0-2,DMT3,0.06914541480732234
4-3-1-0-2,DMT6,0.05595124207506131
4-3-1-0-2,DMT13,0.06511776197748292
4-3-1-0-2,DMT5,0.05743169929196168
4-3-1-0-2,DMT15,0.05137330272439393
4-3-1-0-2,DMT1,0.017770558563561478
4-3-1-0-2,DMT4,0.03203021095707476
4-3-1-0-2,DMT8,0.03323144291730297
4-3-1-0-2,DMT10,0.07668659863945579
4-3-1-0-2,DMT7,0.019205785948976282
4-3-1-0-2,DMT14,0.02809137991445363
4-3-1-0-2,DMT2,0.030637946159999468
4-3-1-0-2,DMT9,0.021797582026007678
4-3-1-2-0,DMT11,0.07394249770267679
4-3-1-2-0,DMT12,0.022759303663156222
4-3-1-2-0,DMT3,0.07299876162709981
4-3-1-2-0,DMT6,0.0527778817688397
4-3-1-2-0,DMT13,0.067384563508591
4-3-1-2-0,DMT5,0.05584515400329228
4-3-1-2-0,DMT15,0.055226649544171405
4-3-1-2-0,DMT1,0.014597198257339863
4-3-1-2-0,DMT4,0.03429701248818283
4-3-1-2-0,DMT8,0.03005808261108136
4-3-1-2-0,DMT10,0.07668659863945579
4-3-1-2-0,DMT7,0.021472587480084352
4-3-1-2-0,DMT14,0.02877136642800949
4-3-1-2-0,DMT2,0.03131793267355533
4-3-1-2-0,DMT9,0.020211036737338275
4-3-2-0-1,DMT11,0.06537454387391496
4-3-2-0-1,DMT12,0.020961015912681888
4-3-2-0-1,DMT3,0.07881655976676383
4-3-2-0-1,DMT6,0.05595124207506131
4-3-2-0-1,DMT13,0.07478890693692442
4-3-2-0-1,DMT5,0.05404686625281794
4-3-2-0-1,DMT15,0.05427478160554795
4-3-2-0-1,DMT1,0.011000892485273993
4-3-2-0-1,DMT4,0.04170135591651627
4-3-2-0-1,DMT8,0.02646177683901549
4-3-2-0-1,DMT10,0.07668659863945579
4-3-2-0-1,DMT7,0.0221072648301303
4-3-2-0-1,DMT14,0.0276080257564639
4-3-2-0-1,DMT2,0.03353942504115348
4-3-2-0-1,DMT9,0.015027915947720193
4-3-2-1-0,DMT11,0.06783393182734707
4-3-2-1-0,DMT12,0.020723115038046316
4-3-2-1-0,DMT3,0.07881655976676383
4-3-2-1-0,DMT6,0.0527778817688397
4-3-2-1-0,DMT13,0.07320236164825501
4-3-2-1-0,DMT5,0.05380896537818236
4-3-2-1-0,DMT15,0.05697207043361562
4-3-2-1-0,DMT1,0.010524821007120048
4-3-2-1-0,DMT4,0.04011481062784686
4-3-2-1-0,DMT8,0.025985705360861547
4-3-2-1-0,DMT10,0.07668659863945579
4-3-2-1-0,DMT7,0.023218008369528566
4-3-2-1-0,DMT14,0.028480598692343793
4-3-2-1-0,DMT2,0.03306335356299954
4-3-2-1-0,DMT9,0.01613865948711846
